,Song Title,English Lyrics
1,Clocks,"['Lyrics', ""The lights go out and I can't be saved"", 'Tides that I tried to swim against', 'Have brought me down upon my knees', 'Oh I beg, I beg and plead, singing', 'Come out of things unsaid', 'Shoot an apple off my head and a', ""Trouble that can't be named"", ""A tiger's waiting to be tamed, singing"", 'You are', 'You are', 'Confusion never stops', 'Closing walls and ticking clocks', 'Gonna come back and take you home', 'I could not stop that you now know, singing', 'Come out upon my seas', 'Cursed missed opportunities', 'Am I a part of the cure?', 'Or am I part of the disease? Singing', 'You are, you are, you are', 'You are, you are, you are', 'And nothing else compares', 'Oh nothing else compares', 'And nothing else compares', 'Home, home where I wanted to go', 'Home, home where I wanted to go', 'Home, (you) home where I wanted to (are) go', 'Home, (you) home where I wanted to (are) go', '(Thanks to MusicLoars and iheartpenguins113 for correcting these lyrics)']"
2,Viva la Vida,"['Lyrics', 'I used to rule the world', 'Seas would rise when I gave the word', 'Now in the morning I sleep alone', 'Sweep the streets that I used to own', 'I used to roll the dice', ""Feel the fear in my enemy's eyes"", 'Listen as the crowd would sing:', '""Now the old king is dead!', 'Long live the king!""', 'One minute I held the key', 'Next the walls were closed on me', 'And I discovered that my castles stand', 'Upon pillars of salt and pillars of sand', 'I hear Jerusalem bells are ringing', 'Roman Cavalry choirs are singing', 'Be my mirror my sword and shield', 'My missionaries in a foreign field', ""For some reason I can't explain"", 'Once you go there was never, never an honest word', 'That was when I ruled the world', '(Ohhh)', 'It was the wicked and wild wind', 'Blew down the doors to let me in', 'Shattered windows and the sound of drums', ""People couldn't believe what I'd become"", 'Revolutionaries wait', 'For my head on a silver plate', 'Just a puppet on a lonely string', 'Oh who would ever want to be king?', 'I hear Jerusalem bells are ringing', 'Roman Cavalry choirs are singing', 'Be my mirror my sword and shield', 'My missionaries in a foreign field', ""For some reason I can't explain"", ""I know Saint Peter won't call my name"", 'Never an honest word', 'But that was when I ruled the world', '(Ohhhhh Ohhh Ohhh)', 'I hear Jerusalem bells are ringing', 'Roman Cavalry choirs are singing', 'Be my mirror my sword and shield', 'My missionaries in a foreign field', ""For some reason I can't explain"", ""I know Saint Peter won't call my name"", 'Never an honest word', 'But that was when I ruled the world', 'Oooooh Oooooh Oooooh']"
3,Paradise,"['Lyrics', 'Ooooh...', 'When she was just a girl,', 'She expected the world,', 'But it flew away from her reach,', 'So she ran away in her sleep.', 'And dreamed of para-para-paradise,', 'Para-para-paradise,', 'Para-para-paradise,', 'Every time she closed her eyes.', 'Ooooh...', 'When she was just a girl,', 'She expected the world,', 'But it flew away from her reach,', 'And bullets catch in her teeth.', 'Life goes on,', 'It gets so heavy,', 'The wheel breaks the butterfly.', 'Every tear, a waterfall.', 'In the night, the stormy night,', 'She closed her eyes.', 'In the night, the stormy night,', 'Away she flied.', 'And dreamed of para-para-paradise,', 'Para-para-paradise,', 'Para-para-paradise,', 'Whoa-oh-oh oh-oooh oh-oh-oh.', 'She dreamed of para-para-paradise,', 'Para-para-paradise,', 'Para-para-paradise,', 'Whoa-oh-oh oh-oooh oh-oh-oh.', 'La, la, la...', 'And so lying underneath those stormy skies', 'She\'d say, ""oh, ohohohoh I know the sun must set to rise""', 'This could be', 'Para-para-paradise', 'Para-para-paradise', 'Para-para-paradise', 'Oh oh oh oh oh oh-oh-oh', 'This could be', 'Para-para-paradise', 'Para-para-paradise', 'Para-para-paradise', 'Oh oh oh oh oh oh-oh-oh-oh', 'This could be', 'Para-para-paradise', 'Para-para-paradise', 'Para-para-paradise', 'Oh oh oh oh oh oh-oh-oh-oh', 'Ooooh...']"
4,A Sky Full of Stars,"['Lyrics', ""Cause you're a sky"", ""Cause you're a sky full of stars"", ""I'm going to give you my heart"", ""Cause you're a sky, cause you're"", 'A sky full of stars', ""'Cause you light up the path"", ""I don't care"", 'Go on and tear me apart', ""I don't care if you do"", 'Cause in a sky, cause in a sky full of stars', 'I think I saw you', ""Cause you're a sky, cause you're"", 'A sky full of stars', 'I want to die in your arms', 'Cause you get lighter', 'the more it gets dark', ""I'm going to give you my heart"", ""And I don't care"", 'Go on and tear me apart', ""I don't care if you do"", 'Cause in a sky, cause in a sky full of stars', 'I think I see you', 'I think I see you', ""You're a sky"", ""You're a sky full of stars"", 'Such a heavenly view', ""You're such a heavenly view""]"
5,Something Just Like This,"['Lyrics', ""I've been reading books of old"", 'The legends and the myths', 'Achilles and his gold', 'Hercules and his gifts', ""Spiderman's control"", 'And Batman with his fists', ""And clearly I don't see myself upon that list"", ""But she said, where'd you wanna go?"", 'How much you wanna risk?', ""I'm not looking for somebody"", 'With some superhuman gifts', 'Some superhero', 'Some fairytale bliss', 'Just something I can turn to', 'Somebody I can kiss', 'I want something just like this', 'Doo-doo-doo, doo-doo-doo', 'Doo-doo-doo, doo-doo', 'Doo-doo-doo, doo-doo-doo', 'Oh, I want something just like this', 'Doo-doo-doo, doo-doo-doo', 'Doo-doo-doo, doo-doo', 'Doo-doo-doo, doo-doo-doo', 'Oh, I want something just like this', 'I want something just like this', ""I've been reading books of old"", 'The legends and the myths', 'The testaments they told', 'The moon and its eclipse', 'And Superman unrolls', 'A suit before he lifts', ""But I'm not the kind of person that it fits"", ""She said, where'd you wanna go?"", 'How much you wanna risk?', ""I'm not looking for somebody"", 'With some superhuman gifts', 'Some superhero', 'Some fairytale bliss', 'Just something I can turn to', 'Somebody I can miss', 'I want something just like this', 'I want something just like this', 'Oh, I want something just like this', 'Doo-doo-doo, doo-doo-doo', 'Doo-doo-doo, doo-doo', 'Doo-doo-doo, doo-doo-doo', 'Oh, I want something just like this', 'Doo-doo-doo, doo-doo-doo', 'Doo-doo-doo, doo-doo', 'Doo-doo-doo, doo-doo-doo', ""Where'd you wanna go?"", 'How much you wanna risk?', ""I'm not looking for somebody"", 'With some superhuman gifts', 'Some superhero', 'Some fairytale bliss', 'Just something I can turn to', 'Somebody I can kiss', 'I want something just like this', 'Oh, I want something just like this', 'Oh, I want something just like this', 'Oh, I want something just like this', 'Oh, I want something just like this']"
6,Speed of Sound,"['Lyrics', 'How long before I get in', 'before it starts, before I begin', 'how long before you decide', 'before I know what it feels like', 'where to?', 'Where do I go?', ""if you've never tried then you'll never know"", 'how long do I have to climb', 'up on the side of this mountain of mine', 'look up, I look up at night', 'planets are moving at the speed of light', 'climb up, up in the trees', 'every chance that you get', 'is a chance you seize', 'how long am I gonna can stand', 'with my head stuck under the sand', ""I'll start before I can stop"", 'before I see thing the right way up', 'all that noise, all that sound', 'all those places I got found', 'and birds go flying at the speed of sound', 'to show you how it all began', 'birds came flying from the underground', ""if you could see it then you'd understand"", ""ideas that you'll never find"", 'or the inventors could never design', 'the buildings that you put up', 'Japan and China... all lit up', ""the sign that I couldn't read"", ""or the light that I couldn't see"", 'some things you have to believe', 'but others are puzzles, puzzling me', 'all that noise, all that sound', 'all those places I got found', 'and birds go flying at the speed of sound', 'to show you how it all began', 'birds came flying from the underground', ""if you could see it then you'd understand,if you could see it then you'd understand"", 'all those signs I knew what they meant', ""something you can't invent"", 'Some get made, and some get sent', 'ooh', 'words go flying at the speed of sound', 'to show you how it all began', 'birds came flying from the underground', ""if you could see it then you'd understand"", ""oh, when you see it then you'll understand""]"
7,In My Place,"['Lyrics', 'In my place, in my place', ""were lines that i couldn't change"", 'i was lost, oh yeah', 'i was lost, i was lost', ""crossed lines i shouldn't have crossed"", 'i was lost, oh yeah', 'yeah, how long must you wait for it?', 'yeah, how long must you pay for it?', 'yeah, how long must you wait for it?', 'i was scared, i was scared', 'tired and underprepared', ""but i'll wait for it"", 'if you go, if you go', 'and leave me down here on my own', ""then i'll wait for you"", 'yeah, how long must you wait for it?', 'yeah, how long must you pay for it?', 'yeah, how long must you wait for it?', ""singin' please, please, please"", 'come back and sing to me', 'to me, me', 'come on and sing it out, now, now', 'come on and sing it out,', 'to me, me', 'come back and sing', 'in my place, in my place', ""were lines that i couldn't change"", 'I was lost, oh yeah', 'oh yeah']"
8,Trouble,"['Lyrics', 'Oh no, I see', 'a spiderweb is tangled up with me', 'and I lost my head', ""and thought of all the stupid things I'd said"", ""oh no, what's this?"", ""a spiderweb and I'm caught in the middle"", 'so I turned to run', ""and thought of all the stupid things I'd done"", 'and I never meant to cause you trouble', 'and I never never meant to do your wrong', 'ah, well if I ever caused you trouble', 'oh no I never meant to do you harm', 'oh no, I see', ""a spiderweb and it's me in the middle"", 'so I twist and turn', 'but here am I in my little bubble', 'singing and I never meant to cause you trouble', 'and I never meant to do you wrong', 'ah, well if I ever caused you trouble', 'oh no I never meant to do you harm', 'they spun a web for me', 'they spun a web for me', 'they spun a web for me']"
9,Shiver,"['Lyrics', 'So I look in your direction', 'But you pay me no attention, do you?', ""I know you don't listen to me"", ""'Cause you say you see straight through me, don't you?"", 'But on and on, from the moment I wake', ""'Til the moment I sleep"", ""I'll be there by your side"", 'Just you try and stop me', ""I'll be waiting in line"", 'Just to see if you care', 'Oh, did you want me to change?', 'Well I changed for good', 'And I want you to know', ""That you'll always get your way"", 'I wanted to say', ""Don't you shiver"", 'Shiver', 'Sing it loud and clear', ""I'll always be waiting for you"", 'So you know how much I need you', 'But you never even see me, do you?', 'And is this my final chance of getting you?', 'But on and on, from the moment I wake', ""'Til the moment I sleep"", ""I'll be there by your side"", 'Just you try and stop me', ""I'll be waiting in line"", 'Just to see if you care', 'If you care', 'Oh, did you want me to change?', 'Well I changed for good', 'And I want you to know', ""That you'll always get your way"", 'And I wanted to say', ""Don't you shiver"", ""Don't you shiver"", 'Sing it loud and clear', ""I'll always be waiting for you"", ""Yeah I'll always be waiting for you"", ""Yeah I'll always be waiting for you"", ""Yeah I'll always be waiting for you"", 'For you', 'I will always be waiting', ""And it's you I see"", ""But you don't see me"", ""And it's you I hear"", 'So loud and so clear', 'I sing it loud and clear', ""And I'll always be waiting for you"", 'So I look in your direction', 'But you pay me no attention', 'And you know how much I need you', 'But you never even see me']"
10,Don't Panic,"['Lyrics', 'Bones sinking like stones', ""All that we've fought for"", ""Homes, places we've grown"", 'All of us are done for', 'And we live in a beautiful world', 'Yeah we do, yeah we do', 'We live in a beautiful world', 'Bones sinking like stones', ""All that we've fought for"", ""Homes, places we've grown"", 'All of us are done for', 'And we live in a beautiful world', 'Yeah we do, yeah we do', 'We live in a beautiful world', 'And we live in a beautiful world', 'Yeah we do, yeah we do', 'We live in a beautiful world', 'Oh all that I know', ""There's nothing here to run from"", ""'Cause yeah, everybody here's got somebody to lean on""]"
