Song Title,duration_ms,tempo,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,chroma,explicit,popularity
Headlines,30000.0,102.27272727272727,0.21486367,-65.50724,19.655262,0.896361401564106,3.378148e-05,1.4101284,22.16546310399112,0.4375937,0.0,50.0
The Motto,30000.0,117.1875,0.21891442,-65.48565,24.584963,0.8877945236255903,0.0017415385,1.1831586,23.32004625446452,0.43206602,0.0,50.0
Started from the Bottom,30000.0,86.53846153846153,0.18698485,-68.16131,27.840496,0.884392247402435,0.00022058416,1.071251,22.433463932159214,0.41680074,0.0,50.0
"Hold On, We're Going Home",30000.0,100.44642857142857,0.16097282,-70.12918,26.46793,0.8654337020283884,0.000171168,1.6025302,20.389511885461115,0.5844124,0.0,50.0
Too Much,30000.0,110.29411764705883,0.1675257,-67.246994,21.65743,0.9060859875087949,0.013276552,0.9540629,21.785758150446455,0.3879892,0.0,50.0
Worst Behavior,30000.0,117.1875,0.12104618,-72.0839,23.502861,0.8963826572039538,0.00021929084,1.2598082,21.043857680798787,0.41473907,0.0,50.0
Know Yourself,30000.0,127.8409090909091,0.107625835,-71.86518,26.042725,0.9161863860860529,0.00277676,1.2020898,22.138957524172472,0.3555651,0.0,50.0
Hotline Bling,30000.0,133.92857142857142,0.18343867,-71.763245,28.59174,0.9239674469302107,0.05290712,1.3090386,20.61894268076514,0.5210657,0.0,50.0
One Dance,30000.0,148.02631578947367,0.10580385,-69.91584,22.615599,0.9317854213185058,4.2121195e-05,1.0877464,20.591766526094,0.40978506,0.0,50.0
Controlla,30000.0,127.8409090909091,0.045995843,-66.018394,25.74489,0.8775858415534302,0.00037705692,1.4549711,22.294957217567312,0.37031677,0.0,50.0
Fake Love,30000.0,125.0,0.20207042,-68.43053,28.843977,0.9084728716807475,0.12215549,1.1235328,20.86185617452896,0.50664353,0.0,50.0
Passionfruit,30000.0,148.02631578947367,0.1734566,-77.89466,11.854565,0.9834034401609177,4.8677534e-06,0.86923647,21.906269890278242,0.3525682,0.0,50.0
God's Plan,30000.0,152.02702702702703,0.09119373,-71.47765,21.326603,0.8988179747587088,0.0006206032,1.075823,21.85411342450851,0.3966758,0.0,50.0
Nice for What,29753.469387755104,126.04801829268293,0.074416555,-60.27707,26.31921,0.8243539423472275,0.00025777225,1.457509,22.69692388679715,0.35577744,0.0,50.0
In My Feelings,30000.0,130.8139534883721,0.13245483,-70.81197,27.029692,0.9120227910338525,0.048535272,1.1677036,21.415537485599373,0.45612654,0.0,50.0
Nonstop,30000.0,144.23076923076923,0.24249417,-66.54798,25.976397,0.9086468910159363,0.004312252,1.2604333,21.96259219992497,0.39112133,0.0,50.0
Toosie Slide,30000.0,117.1875,0.160982,-68.90213,25.908937,0.8922467954167221,0.00029773795,1.26939,21.82843996322061,0.47812563,0.0,50.0
Laugh Now Cry Later,30000.0,137.1951219512195,0.12767293,-67.03304,26.74104,0.9285881470693379,0.00036533864,0.9836588,20.737793845479434,0.4713227,0.0,50.0
Way 2 Sexy,30000.0,137.1951219512195,0.22461471,-68.78901,29.266476,0.8919859368814129,9.369284e-05,1.1472435,22.31739361936287,0.5340805,0.0,50.0
Knife Talk,30000.0,137.1951219512195,0.028711883,-69.70135,28.058514,0.8806362482281803,0.0007363826,1.2777483,21.861163904129672,0.3981966,0.0,50.0
Jimmy Cooks,30000.0,156.25,0.12314323,-68.79075,19.835466,0.8532282165930632,0.00023329309,1.2031375,21.798060645635424,0.5865137,0.0,50.0
