Song Title,duration_ms,tempo,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,chroma,explicit,popularity
Afterglow,30000.0,129.19921875,0.16940081,-66.57187,29.859413,0.8735883776202268,0.006048155,1.2167939,22.36443415021322,0.37273893,0.0,50.0
Bad Habits,30000.0,127.8409090909091,0.116389126,-72.07168,28.241695,0.9239884565178537,0.12074462,0.95350885,22.470933111004477,0.2939839,0.0,50.0
Shivers,30000.0,156.25,0.19005781,-59.806606,19.966585,0.8314990852529357,0.0004922634,1.3403919,20.734612888666017,0.47773668,0.0,50.0
Visiting Hours,30000.0,119.68085106382979,0.2645226,-60.999187,19.5302,0.8805416243098849,7.260192e-05,1.1952019,22.073653346162747,0.5072198,0.0,50.0
Sandman,30000.0,96.98275862068965,0.22204976,-71.258865,24.979889,0.9249053631287851,8.47203e-05,0.98662955,22.32749329481712,0.5631052,0.0,50.0
First Times,30000.0,112.5,0.3108607,-62.69574,24.091488,0.8770917636906279,0.0005555813,1.3934292,21.414148756597697,0.64414674,0.0,50.0
Overpass Graffiti,30000.0,117.1875,0.34023362,-64.811,21.156076,0.8828549598231157,0.00023389998,1.4914759,21.155179810661284,0.5542588,0.0,50.0
The Joker and the Queen,30000.0,133.92857142857142,0.20210537,-70.109436,23.421556,0.9130663670141301,0.004184171,0.8937734,23.063049750658344,0.3016312,0.0,50.0
Leave Your Life,30000.0,106.13207547169812,0.24885595,-64.58004,18.365414,0.9052729519085153,0.010466122,1.2510688,20.24358009534147,0.6168458,0.0,50.0
Collide,30000.0,122.28260869565217,0.17015219,-55.858124,20.54268,0.7420323917601247,0.0019169583,1.2119248,21.867255542081228,0.3932013,0.0,50.0
2step,30000.0,95.33898305084746,0.12919569,-62.79649,23.99384,0.8686910523319764,0.0030398122,1.4511734,22.859378299189306,0.4443346,0.0,50.0
Stop the Rain,30000.0,137.1951219512195,0.29975513,-65.49399,22.968489,0.8576852756885928,0.0010509769,1.4112012,21.77176103040072,0.60622907,0.0,50.0
Love in Slow Motion,30000.0,125.0,0.12978613,-65.52102,21.196873,0.8890633215945726,0.0056578447,1.1437007,22.89226932738267,0.28556004,0.0,50.0
Merry Christmas,30000.0,125.0,0.12037669,-77.86669,19.39513,0.9886665150965365,8.46312e-07,0.49796668,19.346922788571177,0.6588052,0.0,50.0
Eyes Closed,30000.0,172.265625,0.1189354,-66.5962,22.743645,0.9092315075533686,0.002127126,1.2823713,22.047137951078742,0.52987397,0.0,50.0
Boat,30000.0,106.13207547169812,0.26593763,-68.25169,21.6058,0.909938672316867,0.0014988985,0.94051266,22.790711167908448,0.43425605,0.0,50.0
Life Goes On,30000.0,144.23076923076923,0.19407023,-64.80075,26.008114,0.8851852843175754,0.0003589088,1.2521966,23.029226106601005,0.4009143,0.0,50.0
Dusty,30000.0,117.45383522727273,0.052058317,-71.5069,25.486208,0.9107956531041146,0.002611167,0.98735636,23.16982396987349,0.39204153,0.0,50.0
End of Youth,30000.0,122.28260869565217,0.095605835,-70.54031,23.322344,0.9423058114124948,0.0011286701,0.97685,22.151676166863865,0.46615827,0.0,50.0
Colourblind,29753.469387755104,172.265625,0.07517638,-67.34963,19.683693,0.9318629790448659,0.00040422438,1.0865465,19.95060381014885,0.44702017,0.0,50.0
Curtains,30000.0,104.16666666666667,0.13813291,-65.514015,16.664085,0.8545734964985594,0.0016078978,1.1669002,20.864105501497036,0.58181036,0.0,50.0
Borderline,30000.0,106.13207547169812,0.16648266,-64.04483,27.216341,0.8795257427078566,9.730031e-05,1.0873725,21.69894112041114,0.41187048,0.0,50.0
Spark,30000.0,98.6842105263158,0.058900837,-61.641277,23.693949,0.8466582348250524,0.02220226,1.1092274,22.53488185316535,0.34836754,0.0,50.0
Vega,30000.0,114.79591836734694,0.09968546,-71.681984,29.163073,0.9046927540569272,0.001119428,1.0645883,22.778434524867745,0.48422167,0.0,50.0
Sycamore,30000.0,130.8139534883721,0.12717667,-74.193634,26.886976,0.9457459715173088,5.2494735e-05,0.9451066,21.836013561957653,0.58661944,0.0,50.0
No Strings,30000.0,152.02702702702703,0.2919933,-68.94464,32.516525,0.9149294674327192,0.0020934406,0.9833547,21.628541294948892,0.5070711,0.0,50.0
One Time,30000.0,114.79591836734694,0.09953643,-73.53672,20.663082,0.9414266176115023,1.1962134e-05,1.0110227,23.299765982066944,0.3001624,0.0,50.0
