Song Title,duration_ms,tempo,energy,loudness,danceability,speechiness,acousticness,instrumentalness,liveness,valence,explicit,popularity,chroma,spectral_contrast,zero_crossings
Steam,29753.469387755104,[135.99917763],0.39002213,-71.47763,0.7604351952212768,25.724802,0.9456572042325488,2.1723134e-05,2.0021772,20.07586630113776,0.0,50.0,0.7176713,20.07586630113776,0.012851642522680715
Kiss That Frog,29753.469387755104,[184.5703125],0.1713194,-68.49361,0.9029151347852076,18.67347,0.9116736626312257,0.0002181164,1.387031,19.840909838119106,0.0,50.0,0.61872584,19.840909838119106,0.029145022436835432
Mercy Street,29753.469387755104,[139.67483108],0.09912197,-69.489395,0.15297463107169607,23.1637,0.9160532840954879,0.002516883,0.9276146,24.019402092499305,0.0,50.0,0.40266687,24.019402092499305,0.03522827041264267
San Jacinto,217385.2291666667,[170.45454545],0.19903532,-67.48587,0.4627036178099936,22.571869,0.8713232104484746,0.012753899,1.3147393,21.281253337685765,0.0,50.0,0.41592675,21.281253337685765,0.06351675419529328
Family Snapshot,201952.6458333333,[122.2826087],0.21808136,-66.82255,0.14212520209233634,21.542408,0.8914000159189651,0.0004448244,1.3300704,21.85901495468523,0.0,50.0,0.43812948,21.85901495468523,0.044973414250267206
I Have the Touch,29753.469387755104,[123.046875],0.26411968,-64.175674,0.211857679434088,23.770664,0.8842944607239098,0.0055590277,1.22687,21.94614504335967,0.0,50.0,0.4096694,21.94614504335967,0.053187646327187595
Lay Your Hands on Me,100032.0,[140.625],0.17263393,-58.01088,0.3282157849299282,17.115583,0.8460409571362228,0.0024117625,0.9514713,21.14211533236271,0.0,50.0,0.4168989,21.14211533236271,0.08837297064939219
Wallflower,255582.04081632654,[147.65625],0.10657323,-64.903465,0.2884770017384008,25.517223,0.8724152585582465,0.00033782865,1.1407123,21.57668571060713,0.0,50.0,0.4561313,21.57668571060713,0.07625633829608432
Blood of Eden,135569.1041666667,[170.45454545],0.23109055,-68.4983,0.39929857906312766,27.497953,0.8825405856867254,0.003072386,1.4510416,20.957699715472124,0.0,50.0,0.60477036,20.957699715472124,0.04210091501612723
Washing of the Water,234823.4013605442,[93.96306818],0.2160857,-65.16018,0.11720994920562713,22.922066,0.8958881143930802,0.00036888852,1.0412182,23.217105806039957,0.0,50.0,0.45937383,23.217105806039957,0.04202685435825176
Come Talk to Me,29753.469387755104,[86.1328125],0.14968748,-65.54462,0.7168342585124184,22.455301,0.8427065945975674,0.0005553366,1.2792246,22.291456531298955,0.0,50.0,0.43933824,22.291456531298955,0.07558408935713588
Secret World,110016.97916666667,[148.02631579],0.32338566,-62.270466,0.39518205458063493,22.1952,0.8562395309726697,0.003143364,1.2349637,21.784197546485576,0.0,50.0,0.5837166,21.784197546485576,0.05284885003545854
Darkness,29753.469387755104,[126.04801829],0.14397147,-62.382744,0.5939095425166393,24.60753,0.7589641909595443,0.007594603,1.8447803,21.84673872675602,0.0,50.0,0.43987912,21.84673872675602,0.17512696932006633
Growing Up,104861.31519274376,[82.03125],0.32931226,-68.20785,0.16571595042375567,23.412273,0.9080240186451253,0.00015603028,1.2052923,21.096523220665073,0.0,50.0,0.6149394,21.096523220665073,0.030402752020593445
More Than This,193855.6875,[112.5],0.21136378,-69.233894,0.17408439219037777,23.209307,0.897968058200401,0.00031005748,1.1560236,22.294469898143316,0.0,50.0,0.44581723,22.294469898143316,0.047056159580908176
The Barry Williams Show,29753.469387755104,[87.59269068],0.07723624,-71.392784,0.11322951800633584,27.033884,0.8433331139471928,0.0027082707,1.5106345,19.61418583573652,0.0,50.0,0.61280453,19.61418583573652,0.09730072066139889
Signal to Noise,353498.8958333333,[100.44642857],0.10039877,-72.70473,0.18464178582911772,20.94401,0.9521688787194128,0.0010141112,0.8441161,20.81844258424977,0.0,50.0,0.36610603,20.81844258424977,0.02659455501599575
Sky Blue,527323.9583333333,[140.625],0.3016294,-65.989784,0.6494890443132659,25.902739,0.8997761438703681,0.00020932604,1.4247043,19.459076609199176,0.0,50.0,0.63395333,19.459076609199176,0.039526145178782016
Down to Earth,180000.0,[127.84090909],0.2306325,-63.48667,1.5878203186956727,24.854755,0.8677522746791224,0.00027799132,1.206319,20.56805973220907,0.0,50.0,0.55260336,20.56805973220907,0.05620509259259259
The Book of Love,29753.469387755104,[206.71875],0.04876472,-76.03881,0.31939540197967614,25.111565,0.9516046102751173,0.0058887023,0.60454994,24.209566698270486,0.0,50.0,0.36147162,24.209566698270486,0.021539819285923325
Panopticom,119877.3125,[108.17307692],0.2577757,-66.97082,0.32455099310555807,20.709158,0.9095152272098663,0.00019181501,1.4265541,20.306853549192176,0.0,50.0,0.56080824,20.306853549192176,0.037262750058175795
Playing for Time,29753.469387755104,[86.1328125],0.28398204,-61.558903,0.10990722860260428,19.782604,0.8743170642403109,0.007487153,1.2128093,21.536342912267813,0.0,50.0,0.5082781,21.536342912267813,0.06244055458004097
Road to Joy,142915.89583333334,[112.5],0.20084554,-64.70836,0.1481747414034333,24.625603,0.8378590590731798,0.0004849896,1.6109837,21.60076568516914,0.0,50.0,0.5359456,21.60076568516914,0.07756543293309308
Matthew and Son,158338.2291666667,[140.625],0.058518954,-63.270023,0.23554430535922583,22.19147,0.8715372772607483,0.00022179063,1.243111,21.504291826250995,0.0,50.0,0.43973288,21.504291826250995,0.07123200795764868
I Love My Dog,29753.469387755104,[143.5546875],0.14609212,-65.68682,0.16352731195479056,22.803028,0.8746532842445136,0.011876595,0.9948514,22.817718713006688,0.0,50.0,0.545702,22.817718713006688,0.04834894156667642
The First Cut Is the Deepest,29753.469387755104,[166.70866935],0.10954088,-67.81642,0.2826911326214892,24.312838,0.8971595122093065,0.02308493,0.9845735,25.243460800968972,0.0,50.0,0.29513347,25.243460800968972,0.05426604721490586
Lady D'Arbanville,29753.469387755104,[120.18531977],0.030475939,-70.317726,0.12443716291418791,21.618252,0.8957901282458263,0.0009009284,1.1471014,23.787809146910128,0.0,50.0,0.34963733,23.787809146910128,0.0430034264949761
Wild World,138819.39583333334,[112.5],0.33481935,-66.63402,0.1579882503996617,28.131542,0.8886779640196165,0.00573622,1.5625024,21.080983690708067,0.0,50.0,0.5821565,21.080983690708067,0.04027054936937697
Father and Son,29753.469387755104,[129.19921875],0.035775907,-69.19304,0.22918730549545385,20.520308,0.9099173946521805,0.008014688,1.0013807,23.05038143252994,0.0,50.0,0.41117314,23.05038143252994,0.04121472905082431
Where Do the Children Play?,29753.469387755104,[126.04801829],0.04165946,-71.9289,0.3197608152922238,17.102795,0.928891167070306,0.0005683089,0.88405406,23.512325421247976,0.0,50.0,0.42595392,23.512325421247976,0.0271429311774461
Peace Train,218430.125,[133.92857143],0.21394382,-69.991905,0.13268862095995554,22.852926,0.9177030317166359,0.00019395343,1.1385608,21.572507377452673,0.0,50.0,0.4626894,21.572507377452673,0.03783494454653023
Moonshadow,176402.0,[93.75],0.15472324,-71.57373,0.2807626979483436,20.26966,0.9382191185982668,0.009003428,0.9558164,23.249129297884924,0.0,50.0,0.35517752,23.249129297884924,0.03273051987316848
Morning Has Broken,29753.469387755104,[132.51201923],0.09107786,-70.417015,0.2428892681828061,22.300093,0.9337055119099023,0.007605873,0.86047685,23.02430108830654,0.0,50.0,0.42282152,23.02430108830654,0.028222856306701787
Sitting,220290.625,[130.81395349],0.34619316,-64.59256,0.3597617001380397,22.905811,0.876165108218213,0.006866393,1.4163901,22.09556983762193,0.0,50.0,0.53729206,22.09556983762193,0.04581655861811338
Can't Keep It In,203894.4375,[90.72580645],0.21459407,-66.21358,0.23106872431254621,25.60522,0.887433228859413,0.00024850137,1.1850996,22.241960183077698,0.0,50.0,0.43604073,22.241960183077698,0.05429831797152387
Oh Very Young,29753.469387755104,[107.66601562],0.08751209,-72.32986,0.11624416795946306,21.342623,0.9416895403083941,6.376628e-05,0.93364584,23.7132864977235,0.0,50.0,0.3968772,23.7132864977235,0.02824724417130036
Another Saturday Night,215040.0,[92.28515625],0.0993261,-64.97352,0.3510586933204959,18.609163,0.8994260237572532,0.00010062081,0.87299603,21.689185994383536,0.0,50.0,0.4827588,21.689185994383536,0.04645394244007127
Ready,170712.0,[117.1875],0.23710266,-64.053604,0.18701957626762683,23.925798,0.8608754067639859,0.024184048,1.3240349,22.03051476830494,0.0,50.0,0.43172014,22.03051476830494,0.07042929026664792
Two Fine People,4324864.020833334,[127.84090909],0.2271018,-67.746544,0.5682110622516903,23.075838,0.889928046721715,0.0004256908,1.4222865,20.582683557728345,0.0,50.0,0.5952379,20.582683557728345,0.04540502581215547
Banapple Gas,172593.9375,[140.625],0.14655387,-66.19719,0.22118744871523205,25.31768,0.8717452383875237,0.0065391297,1.3626617,21.62650126301401,0.0,50.0,0.48883015,21.62650126301401,0.06168186913672253
18th Avenue (Kansas City Nightmare),29753.469387755104,[143.5546875],0.050103843,-73.37257,0.18103471705974236,21.092695,0.9546960882703555,0.00025742725,0.9144582,22.808629314782465,0.0,50.0,0.408863,22.808629314782465,0.021177811920788214
Foreigner Suite,428591.0208333334,[160.71428571],0.114738815,-67.408,0.4198387210087006,21.981596,0.8885185204273391,0.0047238674,1.0896116,19.37246357884118,0.0,50.0,0.5829552,19.37246357884118,0.05718145537832808
The Hurt,61014.666666666664,[108.17307692],0.12652324,-71.82963,0.26090166881489846,21.681162,0.9453064984691308,0.039557714,0.82521033,22.77318349935305,0.0,50.0,0.36890942,22.77318349935305,0.021448736369397522
King of Trees,29753.469387755104,[151.99908088],0.23801024,-64.36736,0.5572604580023383,17.110378,0.9060771998382858,5.9652728e-05,1.1523607,21.821229487401947,0.0,50.0,0.52446276,21.821229487401947,0.04062789605892108
Ruins,170664.97916666666,[90.72580645],0.08122562,-68.9085,0.9041958856452361,24.796673,0.9135217623654,0.00016746735,1.0219941,19.440585631312395,0.0,50.0,0.5735236,19.440585631312395,0.03078045571495519
On the Road to Find Out,29753.469387755104,[172.265625],0.042154826,-69.392746,0.30065233325773844,19.43095,0.9192462992132464,0.0002609659,1.0191729,24.46909984551678,0.0,50.0,0.41396782,24.46909984551678,0.03889026070627256
Sad Lisa,170052.97916666666,[144.23076923],0.19262768,-68.79292,0.5296079425897158,24.330885,0.890627797194524,0.00012870897,1.2965717,22.752661095512792,0.0,50.0,0.38614786,22.752661095512792,0.04683442402692396
Miles from Nowhere,29753.469387755104,[117.45383523],0.20929794,-61.320713,0.3447020244904152,14.262478,0.8905477903605379,0.0004829934,1.0384496,22.183875509532236,0.0,50.0,0.40987346,22.183875509532236,0.052762382938249926
(Remember the Days of the) Old Schoolyard,29753.469387755104,[143.5546875],0.09543398,-65.91494,0.3405797452008667,20.31175,0.8678925658208114,0.001179548,1.1255863,23.139103196164008,0.0,50.0,0.37451166,23.139103196164008,0.06595012071992977
Was Dog a Doughnut?,201116.75,[181.4516129],0.21155566,-65.45632,0.6127166442291867,23.874285,0.8785496429139765,0.00029648733,1.6286255,20.272622710660475,0.0,50.0,0.44156253,20.272622710660475,0.06916163124155497
Daytime,29753.469387755104,[147.65625],0.061205987,-59.440235,0.6836511266183911,18.647755,0.8209278238109902,0.0019718497,1.1382139,21.735491590443857,0.0,50.0,0.4837197,21.735491590443857,0.11543157374890255
Just Another Night,326426.125,[140.625],0.30874547,-62.507225,0.6749256583576754,22.202791,0.8606843554210899,0.00046613935,1.3516299,20.95614645942481,0.0,50.0,0.57146025,20.95614645942481,0.05573440749163893
Maybe You're Right,188755.01133786846,[123.046875],0.23726922,-72.21819,0.4522145313116012,26.016722,0.9269093483030753,0.0002474304,1.6819509,22.354449745154245,0.0,50.0,0.51102746,22.354449745154245,0.02680675475150695
Don't Be Shy,189596.75,[119.68085106],0.2980704,-62.76077,0.5859795443592767,22.905865,0.8624157764290321,0.00052826037,1.4268928,20.989197311817946,0.0,50.0,0.49210262,20.989197311817946,0.0691249981869415
Run It!,156891.4375,[106.13207547],0.289543,-64.062355,0.11575873523417436,21.449717,0.876134374960188,0.0007577533,1.2910262,22.140793713004022,0.0,50.0,0.50999373,22.140793713004022,0.060606664188838644
Yo (Excuse Me Miss),29753.469387755104,[178.20581897],0.099175,-70.0214,0.5307428709508233,26.363558,0.8864146223354333,0.0034411063,1.1351222,22.766493430107985,0.0,50.0,0.39908922,22.766493430107985,0.04873914740025363
Poppin',126943.49206349206,[84.72079918],0.21850818,-67.68606,0.25039579875321055,30.043213,0.9001237562885006,0.117153764,1.3466029,21.24446819108421,0.0,50.0,0.5403821,21.24446819108421,0.031482217166636184
Say Goodbye,216186.66666666666,[82.72058824],0.26686308,-62.384113,0.22279077953138618,21.431898,0.8978937772692506,0.008013065,1.0487599,20.481339277822524,0.0,50.0,0.5415991,20.481339277822524,0.050179243246577035
With You,29753.469387755104,[172.265625],0.04821884,-66.303986,0.5315604040734684,22.101162,0.900170340278528,0.016067652,1.011348,21.4768777468277,0.0,50.0,0.45729315,21.4768777468277,0.043780027558287
Forever,29753.469387755104,[129.19921875],0.19804803,-65.046394,0.16298054506865384,23.345564,0.8922149601725918,0.0002795668,1.0101912,24.955732672498602,0.0,50.0,0.3691478,24.955732672498602,0.05536807384645401
Kiss Kiss,29753.469387755104,[97.50884434],0.12919523,-69.769875,0.6214409152065977,23.001537,0.9037776880575341,0.015803488,1.219641,22.193104762178205,0.0,50.0,0.5004922,22.193104762178205,0.03502173568432348
Superhuman,136133.3333333333,[170.45454545],0.2655846,-62.464573,0.6100997690335019,23.360415,0.8647994656722682,0.0007337678,1.1983607,20.27928160950758,0.0,50.0,0.47392246,20.27928160950758,0.06887258202742409
No Air,237061.22916666666,[160.71428571],0.21989495,-64.75413,1.2958965764279156,25.475613,0.8619471868037915,0.016129086,1.3608239,21.461640356441777,0.0,50.0,0.42007858,21.461640356441777,0.08223350173509147
Deuces,272535.5208333334,[148.02631579],0.2919935,-66.23952,0.3497147798577042,22.273836,0.8974644362705347,0.00029318334,1.3149198,22.347309818727272,0.0,50.0,0.50073594,22.347309818727272,0.0388509754653541
Look at Me Now,150073.47916666666,[80.35714286],0.28226784,-69.68737,0.1295253334096034,24.06534,0.9021656944857971,0.0029348377,1.1234273,21.18478410926245,0.0,50.0,0.56845856,21.18478410926245,0.051374417004336904
