Song Title,duration_ms,tempo,energy,loudness,danceability,speechiness,acousticness,instrumentalness,liveness,valence,explicit,popularity,chroma,spectral_contrast,zero_crossings
Clocks,29753.469387755104,[132.51201923],0.14459895,-67.59525,0.5653337710457947,24.757942,0.8841687886122708,0.0019289114,0.9068375,22.89227556077645,0.0,50.0,0.46999016,22.89227556077645,0.0672983123597697
Viva la Vida,242373.3333333333,[137.19512195],0.19506833,-65.841736,0.2596309554992065,19.138521,0.9110917143836884,0.0028449947,1.0369581,21.52211484106074,0.0,50.0,0.40467355,21.52211484106074,0.0452872290681043
Paradise,29753.469387755104,[132.51201923],0.1464292,-66.99982,0.2498051188353874,21.376146,0.8968351852021493,0.015051487,1.554349,20.685852480112818,0.0,50.0,0.5623952,20.685852480112818,0.0395837906057945
A Sky Full of Stars,236982.875,[133.92857143],0.15037726,-69.03876,0.2280416813237676,18.593016,0.9295420989266032,0.0023849367,0.9187368,20.995023119391977,0.0,50.0,0.45721766,20.995023119391977,0.036114951344058
Something Just Like This,165000.0,[112.5],0.23259881,-65.194855,0.1987544775933659,26.211662,0.8812472041300695,0.00022025243,1.3665507,21.188408429359008,0.0,50.0,0.5296844,21.188408429359008,0.0607563131313131
Speed of Sound,360071.8541666666,[127.84090909],0.25623745,-61.31947,0.2458760798230529,22.208767,0.8339674442890899,0.0008594872,1.384053,20.76466342963216,0.0,50.0,0.5599248,20.76466342963216,0.0801924430708245
In My Place,29753.469387755104,[77.13386194],0.10889399,-65.95518,0.142307692303642,24.93636,0.885123508029746,0.013857497,1.19675,20.530405689866,0.0,50.0,0.5437606,20.530405689866,0.0466745622378304
Trouble,225023.9909297052,[143.5546875],0.16528292,-63.69309,0.2143008914710428,20.390928,0.8666026252493857,0.00011721784,1.1470101,25.77071057029904,0.0,50.0,0.28352875,25.77071057029904,0.0679470004609233
Shiver,458800.2916666667,[122.2826087],0.24016336,-65.71459,0.6222745383603966,26.295662,0.8349662047422526,0.00046334512,1.695923,20.56194729694679,0.0,50.0,0.68137765,20.56194729694679,0.0665830276372063
Don't Panic,121137.0625,[98.68421053],0.1378917,-68.96533,0.207944753105189,25.020924,0.8774370384973825,0.0011413693,1.3642546,22.41912688567704,0.0,50.0,0.51056796,22.41912688567704,0.0550187726402891
Sparks,155765.85416666666,[119.68085106],0.28734908,-64.75369,0.3344796071274311,20.975088,0.8923323200028226,7.643337e-05,1.2538927,21.73748045672816,0.0,50.0,0.41261825,21.73748045672816,0.0500437288285662
Daylight,174658.85416666666,[152.02702703],0.24473579,-69.26631,0.62675319386636,16.96133,0.9337702242254468,6.3934494e-05,1.0677848,21.106405713778383,0.0,50.0,0.5339925,21.106405713778383,0.0337071374256362
Talk,232888.8958333333,[133.92857143],0.28841844,-61.854618,0.3595870385012503,23.52122,0.8595149234457005,0.00030582136,1.4238334,21.68258783182456,0.0,50.0,0.5522082,21.68258783182456,0.0631201376693661
What If,318093.3333333333,[148.02631579],0.21904102,-63.173355,0.3469488965168776,21.89503,0.8799211245375443,0.00043660766,1.0297818,20.157596497617558,0.0,50.0,0.54411983,20.157596497617558,0.0595372296390996
White Shadows,185039.8333333333,[140.625],0.26150593,-65.96191,0.1903134416294011,27.934816,0.8808303492045976,0.0009140667,1.426924,22.12110488193169,0.0,50.0,0.48638764,22.12110488193169,0.0541287731740643
X&Y,239420.9583333333,[119.68085106],0.19126064,-68.249535,0.1420457704205298,24.213535,0.9091817926126472,0.013403218,0.96424073,21.471212843844743,0.0,50.0,0.37104994,21.471212843844743,0.0384770339132452
Square One,156120.0,[160.71428571],0.0643018,-71.19478,0.1929439315312142,29.498482,0.9144724922432438,0.0067016883,1.044092,21.4909632031828,0.0,50.0,0.5155283,21.4909632031828,0.0413824301819113
Low,179957.5625,[127.84090909],0.24471335,-67.04241,0.1021901499192034,25.590208,0.8831866643347837,0.006921098,1.2194855,21.946401491403115,0.0,50.0,0.50926834,21.946401491403115,0.041374916748312
The Hardest Part,176040.0,[93.75],0.21724568,-69.28256,0.2167098343503928,24.69269,0.8986672788051854,0.0013226838,1.11292,22.18931102030285,0.0,50.0,0.47196004,22.18931102030285,0.047091215064758
Swallowed in the Sea,239001.75,[144.23076923],0.13745509,-65.20359,0.2123495955019943,27.997463,0.902238259804736,0.0071877865,0.9077829,21.33779796532061,0.0,50.0,0.44903257,21.33779796532061,0.0447815758671223
Twisted Logic,280372.25,[125.],0.25056568,-62.42374,0.4547230003917447,21.872353,0.8392173925505527,0.00040034254,1.3819702,22.785586987778085,0.0,50.0,0.43190408,22.785586987778085,0.0743287123933746
Til Kingdom Come,250668.10416666663,[114.79591837],0.16054468,-68.551605,0.1735142467955628,19.172192,0.9119885887855796,0.001925733,0.8968288,21.873442394067453,0.0,50.0,0.46170294,21.873442394067453,0.0386429798565816
Politik,450000.0,[137.19512195],0.3131626,-64.30077,0.6595391685610729,23.720076,0.8835043908746818,0.0002449965,1.3191922,19.737001880855644,0.0,50.0,0.6958678,19.737001880855644,0.0392627314814814
God Put a Smile upon Your Face,204800.0,[125.],0.2678545,-66.41054,0.7789026263783237,24.703243,0.8703444190856038,0.0003193904,1.291057,21.80685209092582,0.0,50.0,0.54342467,21.80685209092582,0.0649977620442708
A Rush of Blood to the Head,351400.0,[140.625],0.1587662,-64.89985,0.2817669895399302,22.051497,0.8948945256963956,0.0027163464,0.9566753,20.83445634530354,0.0,50.0,0.44806775,20.83445634530354,0.0491360747486245
Amsterdam,141130.89583333334,[144.23076923],0.19122452,-67.5067,0.8254209036515207,23.991926,0.89585812754905,0.00030755144,1.4662418,21.235888918878608,0.0,50.0,0.4194274,21.235888918878608,0.0449061546439674
Warning Sign,391758.375,[125.],0.25137624,-64.45837,0.5490489121253278,23.024323,0.8805155585131834,0.002584611,1.5723543,19.920163613884256,0.0,50.0,0.5881877,19.920163613884256,0.0452036709276902
One I Love,281939.6041666666,[130.81395349],0.22406602,-61.295963,0.3375724428612089,21.878134,0.8858994567733687,0.019127592,0.9759384,21.30714498659102,0.0,50.0,0.43614846,21.30714498659102,0.0595386083352219
See You Soon,220192.3958333333,[137.19512195],0.21131551,-65.598816,0.3498452369234874,21.332874,0.904637592483332,0.01099538,0.9661791,19.93707952528881,0.0,50.0,0.49083698,19.93707952528881,0.0480542820743412
Green Eyes,394383.75,[144.23076923],0.3683518,-60.00148,0.5042857598503276,20.799387,0.8430096135136478,0.00046066055,1.2663867,20.483266808428265,0.0,50.0,0.54304963,20.483266808428265,0.0872531090171269
Everything's Not Lost,436440.0,[137.19512195],0.17408258,-69.20171,0.2300426016601435,24.560923,0.9189080173614044,0.02828017,0.8329508,21.75930161941252,0.0,50.0,0.42201716,21.75930161941252,0.0348517264687013
Life in Technicolor,245099.5208333333,[130.81395349],0.22914708,-62.83562,0.6321019751729611,19.363268,0.8943699441124888,0.00018894057,1.1258609,20.605925708247657,0.0,50.0,0.47548258,20.605925708247657,0.0483298578460093
Cemeteries of London,201106.66666666663,[144.23076923],0.19347674,-65.52563,0.2914528399267925,23.753038,0.9141118300786956,5.5064058e-05,1.0552902,20.732999795036783,0.0,50.0,0.46012416,20.732999795036783,0.0398101339256116
Lost!,240927.3541666667,[148.02631579],0.1429928,-71.96238,0.172435622425159,29.97712,0.9287904953297405,0.24962808,0.8735043,18.631393409540344,0.0,50.0,0.33441544,18.631393409540344,0.0314413585768808
42,107546.125,[119.68085106],0.257053,-66.48253,0.1831872861521541,26.963768,0.8921422949142959,0.0007148704,1.3367139,22.695246633878288,0.0,50.0,0.43183252,22.695246633878288,0.0462694882467096
Lovers in Japan,29753.469387755104,[105.46875],0.07069732,-75.23552,0.2486247135305521,22.92828,0.9349525519045138,0.0086140735,0.6750116,23.501618344575427,0.0,50.0,0.3605059,23.501618344575427,0.044382865086333
Yes,512393.2916666666,[133.92857143],0.17916487,-63.717773,0.2523787576480701,24.945057,0.8814154496606348,0.0009386228,1.1468487,21.29338411968242,0.0,50.0,0.4506989,21.29338411968242,0.0603120291956723
Strawberry Swing,235650.625,[119.68085106],0.06058486,-70.942505,0.1174435252936981,19.392534,0.9334043773541754,0.0010490738,1.0830423,20.4154454768265,0.0,50.0,0.45626667,20.4154454768265,0.0462126576862109
Death and All His Friends,378853.3333333334,[127.84090909],0.14672196,-70.18374,0.2491551934410347,23.09158,0.92852840458231,0.00020238692,0.838886,21.555270254376968,0.0,50.0,0.42142943,21.555270254376968,0.0311103791264869
Violet Hill,165642.45833333334,[125.],0.2733481,-61.371677,0.2583762771813404,24.106709,0.8529134592706784,0.00062900886,1.4098976,21.381581573200847,0.0,50.0,0.52100605,21.381581573200847,0.0688937442820492
Every Teardrop Is a Waterfall,198296.5833333333,[127.84090909],0.26706558,-60.914726,0.5838382701501573,24.450932,0.8481779643558085,0.0005927045,1.261009,21.541325074724988,0.0,50.0,0.396773,21.541325074724988,0.0769563814135308
Charlie Brown,197537.9791666667,[59.84042553],0.13768397,-72.855835,0.0819441986168357,15.476447,0.9588368869793292,0.0013675891,0.7975549,21.888127817846293,0.0,50.0,0.43642294,21.888127817846293,0.0211490975944182
Princess of China,285544.5,[95.33898305],0.19110869,-67.18655,0.2668347341622548,26.725624,0.8267417890124089,0.00062273507,1.5250223,21.26364825040798,0.0,50.0,0.49096256,21.26364825040798,0.1009275699584478
Up in Flames,224042.6875,[140.625],0.23263387,-65.85413,0.5510430227828393,24.070412,0.8764821496538376,0.00035343537,1.2421855,22.269681590075223,0.0,50.0,0.40007165,22.269681590075223,0.049671337744509
Hurts Like Heaven,330004.9166666666,[130.81395349],0.29694077,-57.391922,0.2914682909359422,21.252728,0.8295212280704427,0.0029608265,1.1550356,20.937847083871805,0.0,50.0,0.48280776,20.937847083871805,0.0864923350889469
Us Against the World,139786.66666666666,[89.28571429],0.16963506,-69.15756,0.2485609597448768,26.182835,0.8604307247027168,0.0007147093,1.3812292,22.11467976989368,0.0,50.0,0.4592579,22.11467976989368,0.0701835833174361
Major Minus,173529.41666666666,[152.02702703],0.36952695,-62.914433,0.3062884911196944,21.596678,0.8766454682425636,0.00024151333,1.1928015,19.86301031621272,0.0,50.0,0.48040065,19.86301031621272,0.0512357895131132
Mylo Xyloto,42106.91666666666,[119.68085106],0.08916936,-67.79086,0.2099245266615549,13.274037,0.9259648847427966,9.105363e-06,1.0170116,20.35785420739392,0.0,50.0,0.42171758,20.35785420739392,0.0554491245500046
Moving to Mars,300816.9791666667,[75.],0.37466553,-60.91373,0.2173995972114157,26.219818,0.8479614187177877,0.0005563452,1.218496,20.40819286329305,0.0,50.0,0.46930966,20.40819286329305,0.0718172005888131
Up with the Birds,191591.9954648526,[161.49902344],0.12176705,-64.1432,0.4818102230187527,26.13074,0.8780233129496071,0.00069675077,1.3134977,21.16579879202929,0.0,50.0,0.52769256,21.16579879202929,0.0515085025139045
Midnight,133419.375,[156.25],0.20025939,-66.93859,0.4378303487188846,26.091389,0.8346777564352504,0.00024015416,1.3455005,22.532963288596417,0.0,50.0,0.4819541,22.532963288596417,0.0847431267010507
Magic,216099.04166666663,[95.33898305],0.3247069,-66.00155,0.1164598657667868,25.782797,0.885390578500596,0.029127473,1.2419729,21.82934562944167,0.0,50.0,0.3843721,21.82934562944167,0.0507616395799996
Ink,206169.9791666667,[148.02631579],0.22846237,-67.115486,0.3916917134616112,24.769197,0.9081039532122748,0.041677035,1.2587861,21.139353664333544,0.0,50.0,0.47067392,21.139353664333544,0.0360277153994797
True Love,29753.469387755104,[95.703125],0.16701676,-66.114876,1.0868209488077631,29.006298,0.8784822785836415,0.008697491,1.1371205,22.009209387029383,0.0,50.0,0.44627362,22.009209387029383,0.0517518107989464
Oceans,370200.0,[114.79591837],0.19507423,-69.042595,0.1479014993628403,19.04207,0.9300911095435191,0.0056516393,1.0364599,20.780924366754007,0.0,50.0,0.43256682,20.780924366754007,0.0373087745362866
O,292379.0416666667,[61.81318681],0.14057416,-69.61458,0.0724523606622739,23.400621,0.9084590858882122,0.002046922,0.8865932,21.53476425985145,0.0,50.0,0.3925563,21.53476425985145,0.0370276340771689
Always in My Head,161328.0,[67.77108434],0.0930248,-71.32482,0.0885592686945017,20.810352,0.920133354202921,9.065939e-05,1.1187655,20.87319719742285,0.0,50.0,0.501904,20.87319719742285,0.0352250797547026
Another's Arms,276044.7708333334,[140.625],0.18792881,-67.44734,0.3045000862230308,25.252623,0.905052912017014,0.017572014,0.94963896,20.46950003151085,0.0,50.0,0.54613876,20.46950003151085,0.0378232727798004
Adventure of a Lifetime,263786.6666666667,[112.5],0.32109663,-64.53523,0.2557759534748184,19.591707,0.9004313988075836,0.0001076359,1.1647279,21.27732760839652,0.0,50.0,0.44115052,21.27732760839652,0.0427404247118883
Hymn for the Weekend,258266.66666666663,[90.72580645],0.20477563,-64.413086,0.1905026465576534,25.104252,0.8675862092075449,0.00041644936,1.0439242,21.705503188878875,0.0,50.0,0.36420268,21.705503188878875,0.0714037493546721
