Song Title,duration_ms,tempo,energy,loudness,danceability,speechiness,acousticness,instrumentalness,liveness,valence,explicit,popularity,chroma,spectral_contrast,zero_crossings,English Lyrics
Clocks,29753.469387755104,[132.51201923],0.14459895,-67.59525,0.5653337710457947,24.757942,0.8841687886122708,0.0019289114,0.9068375,22.89227556077645,0.0,50.0,0.46999016,22.89227556077645,0.0672983123597697,"['Lyrics', ""The lights go out and I can't be saved"", 'Tides that I tried to swim against', 'Have brought me down upon my knees', 'Oh I beg, I beg and plead, singing', 'Come out of things unsaid', 'Shoot an apple off my head and a', ""Trouble that can't be named"", ""A tiger's waiting to be tamed, singing"", 'You are', 'You are', 'Confusion never stops', 'Closing walls and ticking clocks', 'Gonna come back and take you home', 'I could not stop that you now know, singing', 'Come out upon my seas', 'Cursed missed opportunities', 'Am I a part of the cure?', 'Or am I part of the disease? Singing', 'You are, you are, you are', 'You are, you are, you are', 'And nothing else compares', 'Oh nothing else compares', 'And nothing else compares', 'Home, home where I wanted to go', 'Home, home where I wanted to go', 'Home, (you) home where I wanted to (are) go', 'Home, (you) home where I wanted to (are) go', '(Thanks to MusicLoars and iheartpenguins113 for correcting these lyrics)']"
Viva la Vida,242373.3333333333,[137.19512195],0.19506833,-65.841736,0.2596309554992065,19.138521,0.9110917143836884,0.0028449947,1.0369581,21.52211484106074,0.0,50.0,0.40467355,21.52211484106074,0.0452872290681043,"['Lyrics', 'I used to rule the world', 'Seas would rise when I gave the word', 'Now in the morning I sleep alone', 'Sweep the streets that I used to own', 'I used to roll the dice', ""Feel the fear in my enemy's eyes"", 'Listen as the crowd would sing:', '""Now the old king is dead!', 'Long live the king!""', 'One minute I held the key', 'Next the walls were closed on me', 'And I discovered that my castles stand', 'Upon pillars of salt and pillars of sand', 'I hear Jerusalem bells are ringing', 'Roman Cavalry choirs are singing', 'Be my mirror my sword and shield', 'My missionaries in a foreign field', ""For some reason I can't explain"", 'Once you go there was never, never an honest word', 'That was when I ruled the world', '(Ohhh)', 'It was the wicked and wild wind', 'Blew down the doors to let me in', 'Shattered windows and the sound of drums', ""People couldn't believe what I'd become"", 'Revolutionaries wait', 'For my head on a silver plate', 'Just a puppet on a lonely string', 'Oh who would ever want to be king?', 'I hear Jerusalem bells are ringing', 'Roman Cavalry choirs are singing', 'Be my mirror my sword and shield', 'My missionaries in a foreign field', ""For some reason I can't explain"", ""I know Saint Peter won't call my name"", 'Never an honest word', 'But that was when I ruled the world', '(Ohhhhh Ohhh Ohhh)', 'I hear Jerusalem bells are ringing', 'Roman Cavalry choirs are singing', 'Be my mirror my sword and shield', 'My missionaries in a foreign field', ""For some reason I can't explain"", ""I know Saint Peter won't call my name"", 'Never an honest word', 'But that was when I ruled the world', 'Oooooh Oooooh Oooooh']"
Paradise,29753.469387755104,[132.51201923],0.1464292,-66.99982,0.2498051188353874,21.376146,0.8968351852021493,0.015051487,1.554349,20.685852480112818,0.0,50.0,0.5623952,20.685852480112818,0.0395837906057945,"['Lyrics', 'Ooooh...', 'When she was just a girl,', 'She expected the world,', 'But it flew away from her reach,', 'So she ran away in her sleep.', 'And dreamed of para-para-paradise,', 'Para-para-paradise,', 'Para-para-paradise,', 'Every time she closed her eyes.', 'Ooooh...', 'When she was just a girl,', 'She expected the world,', 'But it flew away from her reach,', 'And bullets catch in her teeth.', 'Life goes on,', 'It gets so heavy,', 'The wheel breaks the butterfly.', 'Every tear, a waterfall.', 'In the night, the stormy night,', 'She closed her eyes.', 'In the night, the stormy night,', 'Away she flied.', 'And dreamed of para-para-paradise,', 'Para-para-paradise,', 'Para-para-paradise,', 'Whoa-oh-oh oh-oooh oh-oh-oh.', 'She dreamed of para-para-paradise,', 'Para-para-paradise,', 'Para-para-paradise,', 'Whoa-oh-oh oh-oooh oh-oh-oh.', 'La, la, la...', 'And so lying underneath those stormy skies', 'She\'d say, ""oh, ohohohoh I know the sun must set to rise""', 'This could be', 'Para-para-paradise', 'Para-para-paradise', 'Para-para-paradise', 'Oh oh oh oh oh oh-oh-oh', 'This could be', 'Para-para-paradise', 'Para-para-paradise', 'Para-para-paradise', 'Oh oh oh oh oh oh-oh-oh-oh', 'This could be', 'Para-para-paradise', 'Para-para-paradise', 'Para-para-paradise', 'Oh oh oh oh oh oh-oh-oh-oh', 'Ooooh...']"
A Sky Full of Stars,236982.875,[133.92857143],0.15037726,-69.03876,0.2280416813237676,18.593016,0.9295420989266032,0.0023849367,0.9187368,20.995023119391977,0.0,50.0,0.45721766,20.995023119391977,0.036114951344058,"['Lyrics', ""Cause you're a sky"", ""Cause you're a sky full of stars"", ""I'm going to give you my heart"", ""Cause you're a sky, cause you're"", 'A sky full of stars', ""'Cause you light up the path"", ""I don't care"", 'Go on and tear me apart', ""I don't care if you do"", 'Cause in a sky, cause in a sky full of stars', 'I think I saw you', ""Cause you're a sky, cause you're"", 'A sky full of stars', 'I want to die in your arms', 'Cause you get lighter', 'the more it gets dark', ""I'm going to give you my heart"", ""And I don't care"", 'Go on and tear me apart', ""I don't care if you do"", 'Cause in a sky, cause in a sky full of stars', 'I think I see you', 'I think I see you', ""You're a sky"", ""You're a sky full of stars"", 'Such a heavenly view', ""You're such a heavenly view""]"
Something Just Like This,165000.0,[112.5],0.23259881,-65.194855,0.1987544775933659,26.211662,0.8812472041300695,0.00022025243,1.3665507,21.188408429359008,0.0,50.0,0.5296844,21.188408429359008,0.0607563131313131,"['Lyrics', ""I've been reading books of old"", 'The legends and the myths', 'Achilles and his gold', 'Hercules and his gifts', ""Spiderman's control"", 'And Batman with his fists', ""And clearly I don't see myself upon that list"", ""But she said, where'd you wanna go?"", 'How much you wanna risk?', ""I'm not looking for somebody"", 'With some superhuman gifts', 'Some superhero', 'Some fairytale bliss', 'Just something I can turn to', 'Somebody I can kiss', 'I want something just like this', 'Doo-doo-doo, doo-doo-doo', 'Doo-doo-doo, doo-doo', 'Doo-doo-doo, doo-doo-doo', 'Oh, I want something just like this', 'Doo-doo-doo, doo-doo-doo', 'Doo-doo-doo, doo-doo', 'Doo-doo-doo, doo-doo-doo', 'Oh, I want something just like this', 'I want something just like this', ""I've been reading books of old"", 'The legends and the myths', 'The testaments they told', 'The moon and its eclipse', 'And Superman unrolls', 'A suit before he lifts', ""But I'm not the kind of person that it fits"", ""She said, where'd you wanna go?"", 'How much you wanna risk?', ""I'm not looking for somebody"", 'With some superhuman gifts', 'Some superhero', 'Some fairytale bliss', 'Just something I can turn to', 'Somebody I can miss', 'I want something just like this', 'I want something just like this', 'Oh, I want something just like this', 'Doo-doo-doo, doo-doo-doo', 'Doo-doo-doo, doo-doo', 'Doo-doo-doo, doo-doo-doo', 'Oh, I want something just like this', 'Doo-doo-doo, doo-doo-doo', 'Doo-doo-doo, doo-doo', 'Doo-doo-doo, doo-doo-doo', ""Where'd you wanna go?"", 'How much you wanna risk?', ""I'm not looking for somebody"", 'With some superhuman gifts', 'Some superhero', 'Some fairytale bliss', 'Just something I can turn to', 'Somebody I can kiss', 'I want something just like this', 'Oh, I want something just like this', 'Oh, I want something just like this', 'Oh, I want something just like this', 'Oh, I want something just like this']"
Speed of Sound,360071.8541666666,[127.84090909],0.25623745,-61.31947,0.2458760798230529,22.208767,0.8339674442890899,0.0008594872,1.384053,20.76466342963216,0.0,50.0,0.5599248,20.76466342963216,0.0801924430708245,"['Lyrics', 'How long before I get in', 'before it starts, before I begin', 'how long before you decide', 'before I know what it feels like', 'where to?', 'Where do I go?', ""if you've never tried then you'll never know"", 'how long do I have to climb', 'up on the side of this mountain of mine', 'look up, I look up at night', 'planets are moving at the speed of light', 'climb up, up in the trees', 'every chance that you get', 'is a chance you seize', 'how long am I gonna can stand', 'with my head stuck under the sand', ""I'll start before I can stop"", 'before I see thing the right way up', 'all that noise, all that sound', 'all those places I got found', 'and birds go flying at the speed of sound', 'to show you how it all began', 'birds came flying from the underground', ""if you could see it then you'd understand"", ""ideas that you'll never find"", 'or the inventors could never design', 'the buildings that you put up', 'Japan and China... all lit up', ""the sign that I couldn't read"", ""or the light that I couldn't see"", 'some things you have to believe', 'but others are puzzles, puzzling me', 'all that noise, all that sound', 'all those places I got found', 'and birds go flying at the speed of sound', 'to show you how it all began', 'birds came flying from the underground', ""if you could see it then you'd understand,if you could see it then you'd understand"", 'all those signs I knew what they meant', ""something you can't invent"", 'Some get made, and some get sent', 'ooh', 'words go flying at the speed of sound', 'to show you how it all began', 'birds came flying from the underground', ""if you could see it then you'd understand"", ""oh, when you see it then you'll understand""]"
In My Place,29753.469387755104,[77.13386194],0.10889399,-65.95518,0.142307692303642,24.93636,0.885123508029746,0.013857497,1.19675,20.530405689866,0.0,50.0,0.5437606,20.530405689866,0.0466745622378304,"['Lyrics', 'In my place, in my place', ""were lines that i couldn't change"", 'i was lost, oh yeah', 'i was lost, i was lost', ""crossed lines i shouldn't have crossed"", 'i was lost, oh yeah', 'yeah, how long must you wait for it?', 'yeah, how long must you pay for it?', 'yeah, how long must you wait for it?', 'i was scared, i was scared', 'tired and underprepared', ""but i'll wait for it"", 'if you go, if you go', 'and leave me down here on my own', ""then i'll wait for you"", 'yeah, how long must you wait for it?', 'yeah, how long must you pay for it?', 'yeah, how long must you wait for it?', ""singin' please, please, please"", 'come back and sing to me', 'to me, me', 'come on and sing it out, now, now', 'come on and sing it out,', 'to me, me', 'come back and sing', 'in my place, in my place', ""were lines that i couldn't change"", 'I was lost, oh yeah', 'oh yeah']"
Trouble,225023.9909297052,[143.5546875],0.16528292,-63.69309,0.2143008914710428,20.390928,0.8666026252493857,0.00011721784,1.1470101,25.77071057029904,0.0,50.0,0.28352875,25.77071057029904,0.0679470004609233,"['Lyrics', 'Oh no, I see', 'a spiderweb is tangled up with me', 'and I lost my head', ""and thought of all the stupid things I'd said"", ""oh no, what's this?"", ""a spiderweb and I'm caught in the middle"", 'so I turned to run', ""and thought of all the stupid things I'd done"", 'and I never meant to cause you trouble', 'and I never never meant to do your wrong', 'ah, well if I ever caused you trouble', 'oh no I never meant to do you harm', 'oh no, I see', ""a spiderweb and it's me in the middle"", 'so I twist and turn', 'but here am I in my little bubble', 'singing and I never meant to cause you trouble', 'and I never meant to do you wrong', 'ah, well if I ever caused you trouble', 'oh no I never meant to do you harm', 'they spun a web for me', 'they spun a web for me', 'they spun a web for me']"
Shiver,458800.2916666667,[122.2826087],0.24016336,-65.71459,0.6222745383603966,26.295662,0.8349662047422526,0.00046334512,1.695923,20.56194729694679,0.0,50.0,0.68137765,20.56194729694679,0.0665830276372063,"['Lyrics', 'So I look in your direction', 'But you pay me no attention, do you?', ""I know you don't listen to me"", ""'Cause you say you see straight through me, don't you?"", 'But on and on, from the moment I wake', ""'Til the moment I sleep"", ""I'll be there by your side"", 'Just you try and stop me', ""I'll be waiting in line"", 'Just to see if you care', 'Oh, did you want me to change?', 'Well I changed for good', 'And I want you to know', ""That you'll always get your way"", 'I wanted to say', ""Don't you shiver"", 'Shiver', 'Sing it loud and clear', ""I'll always be waiting for you"", 'So you know how much I need you', 'But you never even see me, do you?', 'And is this my final chance of getting you?', 'But on and on, from the moment I wake', ""'Til the moment I sleep"", ""I'll be there by your side"", 'Just you try and stop me', ""I'll be waiting in line"", 'Just to see if you care', 'If you care', 'Oh, did you want me to change?', 'Well I changed for good', 'And I want you to know', ""That you'll always get your way"", 'And I wanted to say', ""Don't you shiver"", ""Don't you shiver"", 'Sing it loud and clear', ""I'll always be waiting for you"", ""Yeah I'll always be waiting for you"", ""Yeah I'll always be waiting for you"", ""Yeah I'll always be waiting for you"", 'For you', 'I will always be waiting', ""And it's you I see"", ""But you don't see me"", ""And it's you I hear"", 'So loud and so clear', 'I sing it loud and clear', ""And I'll always be waiting for you"", 'So I look in your direction', 'But you pay me no attention', 'And you know how much I need you', 'But you never even see me']"
Don't Panic,121137.0625,[98.68421053],0.1378917,-68.96533,0.207944753105189,25.020924,0.8774370384973825,0.0011413693,1.3642546,22.41912688567704,0.0,50.0,0.51056796,22.41912688567704,0.0550187726402891,"['Lyrics', 'Bones sinking like stones', ""All that we've fought for"", ""Homes, places we've grown"", 'All of us are done for', 'And we live in a beautiful world', 'Yeah we do, yeah we do', 'We live in a beautiful world', 'Bones sinking like stones', ""All that we've fought for"", ""Homes, places we've grown"", 'All of us are done for', 'And we live in a beautiful world', 'Yeah we do, yeah we do', 'We live in a beautiful world', 'And we live in a beautiful world', 'Yeah we do, yeah we do', 'We live in a beautiful world', 'Oh all that I know', ""There's nothing here to run from"", ""'Cause yeah, everybody here's got somebody to lean on""]"
